Generator,Resource,Zone,Existing_MW,Total_MW,New_MW,Retired_MW
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,0.0
2,biomass,2,48.4,0.0,0.0,48.4
3,conventional_hydroelectric,2,467.02,0.0,0.0,467.02
4,conventional_steam_coal,2,13567.68,13567.68,0.0,0.0
5,natural_gas_fired_combined_cycle,2,36734.21,36734.21,0.0,0.0
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,0.0
7,natural_gas_steam_turbine,2,1118.5,0.0,0.0,1118.5
8,nuclear,2,5020.0,5020.0,0.0,0.0
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,0.0
10,small_hydroelectric,2,11.59,11.59,0.0,0.0
11,solar_photovoltaic,2,454.5,454.5,0.0,0.0
12,conventional_steam_coal,3,650.0,650.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,0.0
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,0.0
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,0.0
16,solar_photovoltaic,3,137.5,137.5,0.0,0.0
17,naturalgas_ccccsavgcf,1,0.0,0.0,-0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,-0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,-0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,-0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,-0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,-0.0,0.0
23,utilitypv_losangeles,1,0.0,157.84785491898464,157.84785491898464,0.0
24,utilitypv_losangeles,1,0.0,0.0,-0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,-0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,-0.0,0.0
27,battery,1,0.0,-0.0,-0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,-0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,-0.0,0.0
30,naturalgas_ccavgcf,2,0.0,6584.018520341611,6584.018520341611,0.0
31,naturalgas_ctavgcf,2,0.0,0.0,-0.0,0.0
32,landbasedwind_ltrg1,2,0.0,0.0,-0.0,0.0
33,landbasedwind_ltrg1,2,0.0,0.0,-0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,-0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,-0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,-0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,-0.0,0.0
38,utilitypv_losangeles,2,0.0,19057.247307634367,19057.247307634367,0.0
39,utilitypv_losangeles,2,0.0,0.0,-0.0,0.0
40,battery,2,0.0,-0.0,-0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,-0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,-0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,-0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,-0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
47,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,-0.0,0.0
52,utilitypv_losangeles,3,0.0,98.45786210665993,98.45786210665993,0.0
53,utilitypv_losangeles,3,0.0,0.0,-0.0,0.0
54,battery,3,0.0,-0.0,-0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,-0.0,0.0
DataCenter_DR,Demand_Response,1,1000.0,1000.0,0.0,0.0
