Sum of Generation (GW),Column Labels,,,,,,,,,,,
,Other,conventional_steam_coal,conventional_steam_coal Total,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle Total,naturalgas_ccavgcf,naturalgas_ccavgcf Total,onshore_wind_turbine,onshore_wind_turbine Total,utilitypv_losangeles,utilitypv_losangeles Total,Grand Total
Row Labels,,conventional_steam_coal,,natural_gas_fired_combined_cycle,,naturalgas_ccavgcf,,onshore_wind_turbine,,utilitypv_losangeles,,
740.00,5.03159,14.21768,14.21768,32.23529063,32.23529063,6.58401852,6.58401852,7.20742085,7.20742085,0,0,65.276
741.00,5.03159,14.21768,14.21768,27.60063946,27.60063946,6.58401852,6.58401852,6.41807202,6.41807202,0,0,59.852
742.00,5.03159,14.21768,14.21768,22.08996561,22.08996561,6.58401852,6.58401852,7.23974587,7.23974587,0,0,55.163
743.00,5.03159,14.21768,14.21768,20.2201716,20.2201716,6.58401852,6.58401852,5.69253988,5.69253988,0,0,51.746
744.00,5.03159,14.21768,14.21768,19.33583663,19.33583663,6.58401852,6.58401852,4.22587485,4.22587485,0,0,49.395
745.00,5.03159,14.21768,14.21768,18.69154682,18.69154682,6.58401852,6.58401852,3.35116466,3.35116466,0,0,47.876
746.00,5.03159,14.21768,14.21768,17.74847725,17.74847725,6.58401852,6.58401852,3.95823423,3.95823423,0,0,47.54
747.00,5.03159,14.21768,14.21768,20.05992449,20.05992449,6.58401852,6.58401852,2.97178699,2.97178699,0,0,48.865
748.00,5.03159,14.21768,14.21768,23.169491,23.169491,6.58401852,6.58401852,2.35022048,2.35022048,0,0,51.353
749.00,5.03159,14.21768,14.21768,23.83994417,23.83994417,6.58401852,6.58401852,2.73976731,2.73976731,0,0,52.413
750.00,5.118625,14.21768,14.21768,23.64844353,23.64844353,6.58401852,6.58401852,2.38720917,2.38720917,3.87602378,3.87602378,55.832
751.00,5.23014625,14.21768,14.21768,25.10647649,25.10647649,6.58401852,6.58401852,1.59120007,1.59120007,8.270478666,8.270478666,61
752.00,5.30408405,14.21768,14.21768,28.60924183,28.60924183,6.58401852,6.58401852,1.52818164,1.52818164,10.43279396,10.43279396,66.676
753.00,5.3393554,14.21768,14.21768,32.96841766,32.96841766,6.58401852,6.58401852,1.02461741,1.02461741,12.00391101,12.00391101,72.138
754.00,5.361175,14.21768,14.21768,36.52974365,36.52974365,6.58401852,6.58401852,1.84947889,1.84947889,12.43390394,12.43390394,76.976
755.00,6.697864091,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,1.26411849,1.26411849,12.5947689,12.5947689,81.52
756.00,9.702516417,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,1.56691589,1.56691589,12.60531917,12.60531917,84.838
757.00,11.65649103,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,1.94512283,1.94512283,12.39813762,12.39813762,86.963
758.00,12.26248925,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,2.1427005,2.1427005,11.74278696,11.74278696,87.11122523
759.00,12.22865392,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,2.69171483,2.69171483,10.96738273,10.96738273,86.851
760.00,11.59761902,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,3.65733222,3.65733222,8.604800243,8.604800243,84.823
761.00,12.08463775,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,4.05719927,4.05719927,4.44591446,4.44591446,81.551
762.00,11.9587048,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,4.71779038,4.71779038,0.050937216,0.050937216,77.69068092
763.00,9.74410806,14.21768,14.21768,40.16155,40.16155,6.58401852,6.58401852,5.38264342,5.38264342,0,0,76.09
764.00,5.03159,14.21768,14.21768,39.30672444,39.30672444,6.58401852,6.58401852,5.45098704,5.45098704,0,0,70.591
765.00,5.03159,14.21768,14.21768,33.43718787,33.43718787,6.58401852,6.58401852,5.46452361,5.46452361,0,0,64.735
766.00,5.03159,14.21768,14.21768,29.96225581,29.96225581,6.58401852,6.58401852,3.95145567,3.95145567,0,0,59.747
767.00,5.03159,14.21768,14.21768,26.31943617,26.31943617,6.58401852,6.58401852,4.01527531,4.01527531,0,0,56.168
768.00,5.03159,14.21768,14.21768,23.11076543,23.11076543,6.58401852,6.58401852,4.39894605,4.39894605,0,0,53.343
769.00,5.03159,14.21768,14.21768,20.76074199,20.76074199,6.58401852,6.58401852,4.87696949,4.87696949,0,0,51.471
770.00,5.03159,14.21768,14.21768,19.40697056,19.40697056,6.58401852,6.58401852,5.44374092,5.44374092,0,0,50.684
771.00,5.03159,14.21768,14.21768,19.46291858,19.46291858,6.58401852,6.58401852,6.2717929,6.2717929,0,0,51.568
772.00,5.03159,14.21768,14.21768,20.86486727,20.86486727,6.58401852,6.58401852,6.66184421,6.66184421,0,0,53.36
773.00,5.03159,14.21768,14.21768,23.13179526,23.13179526,6.58401852,6.58401852,4.97191622,4.97191622,0,0,53.937
774.00,5.1681277,14.21768,14.21768,20.95478872,20.95478872,6.58401852,6.58401852,1.2597659,1.2597659,8.842619157,8.842619157,57.027
